Benchmark	Conf1	Conf2	Conf3	Conf4	Conf5	Conf6	Conf7
600.perlbench_s	250.137559168	3030.741	2885.382	3143.702	3561.041	2923.714	3113.922
641.leela_s	702.252211348	4724.882	4590.219	6200.548	5597.45	5174.492	6154.82
644.nab_s	791.479809445	3833.9	3770.681	4633.202	4067.178	3789.276	4570.756
648.exchange2_s	866.179507982	4875.545	4868.112	6522.322	5521.658	5522.998	6378.832
619.lbm_s	1391.004776172	3974.462	3891.205	18608.506	5248.554	5141.533	16525.189
649.fotonik3d_s	1022.917779669	3807.079	3729.21	15223.432	4838.785	4739.962	13566.141
654.roms_s	2483.783165142	5501.512	5430.433	22123.874	6956.466	6860.952	19649.111
603.bwaves_s	1408.247009765	5159.767	5093.133	14756.765	6111.351	6015.041	13475.788
Benchmark	Conf1	Conf2	Conf3	Conf4	Conf5	Conf6	Conf7
600.perlbench_s	1.0	12.116	11.535	12.568	14.236	11.688	12.449
641.leela_s	1.0	6.728	6.536	8.83	7.971	7.368	8.764
644.nab_s	1.0	4.844	4.764	5.854	5.139	4.788	5.775
648.exchange2_s	1.0	5.629	5.62	7.53	6.375	6.376	7.364
619.lbm_s	1.0	2.857	2.797	13.378	3.773	3.696	11.88
649.fotonik3d_s	1.0	3.722	3.646	14.882	4.73	4.634	13.262
654.roms_s	1.0	2.215	2.186	8.907	2.801	2.762	7.911
603.bwaves_s	1.0	3.664	3.617	10.479	4.34	4.271	9.569
Overall Slowdown	1.0	4.575	4.482	9.881	5.474	5.196	9.287
